"ID_Observacao","Estudo","Pais_Estudo","Status_Metabolico","Sexo_Animal","Peso_Corporal_kg","Consumo_MS_kg","Fracao_Perda_A","Modelo","MAPE","MAPE_log","MAPE_boxcox"
43,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.4,0.01350574713,"Modelo_2",0.137493670886076,-1.98417739285437,-1.49525693980438
43,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.4,0.01350574713,"Modelo_3",0.038393670886076,-3.25986265364798,-2.07974010755398
43,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.4,0.01350574713,"Modelo_4",0.190886075949367,-1.65607848988721,-1.30513220329297
43,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.4,0.01350574713,"Modelo_5",0.0979506329113924,-2.32329167303623,-1.6730549279123
44,"Estudo_AB","Reino Litoral","Terminação","Boi",696,10.3,0.01479885057,"Modelo_1",0.00487804878048787,-5.3230099791384,-2.65825745995091
44,"Estudo_AB","Reino Litoral","Terminação","Boi",696,10.3,0.01479885057,"Modelo_2",0.11669512195122,-2.14819054046712,-1.58350857961994
44,"Estudo_AB","Reino Litoral","Terminação","Boi",696,10.3,0.01479885057,"Modelo_3",0.00095365853658531,-6.95520487869518,-2.9196227647221
44,"Estudo_AB","Reino Litoral","Terminação","Boi",696,10.3,0.01479885057,"Modelo_4",0.145853658536585,-1.92515149874177,-1.46241882221339
44,"Estudo_AB","Reino Litoral","Terminação","Boi",696,10.3,0.01479885057,"Modelo_5",0.121831707317073,-2.10511463478417,-1.56074925374727
45,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.7,0.01393678161,"Modelo_1",0.245933014354067,-1.40269607950369,-1.14494800154443
45,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.7,0.01393678161,"Modelo_2",0.334267942583732,-1.09581238430997,-0.933908420391553
45,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.7,0.01393678161,"Modelo_3",0.191259330143541,-1.65412502240118,-1.30394324745021
45,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.7,0.01393678161,"Modelo_4",0.0253588516746412,-3.67462743140673,-2.22640980094876
45,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.7,0.01393678161,"Modelo_5",0.0924535885167464,-2.38104850614519,-1.70157485808473
46,"Estudo_AB","Reino Litoral","Terminação","Boi",696,11.1,0.01594827586,"Modelo_1",0.192592592592593,-1.64717824041695,-1.29970951821716
46,"Estudo_AB","Reino Litoral","Terminação","Boi",696,11.1,0.01594827586,"Modelo_2",0.294009259259259,-1.22414401806027,-1.02452943175729
46,"Estudo_AB","Reino Litoral","Terminação","Boi",696,11.1,0.01594827586,"Modelo_3",0.131912962962963,-2.02561294536946,-1.51796402857464
46,"Estudo_AB","Reino Litoral","Terminação","Boi",696,11.1,0.01594827586,"Modelo_4",0.0791666666666666,-2.53619994417555,-1.77578528466136
46,"Estudo_AB","Reino Litoral","Terminação","Boi",696,11.1,0.01594827586,"Modelo_5",0.0486240740740741,-3.02363651940326,-1.98767703458164
47,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.4,0.01350574713,"Modelo_1",0.336206896551724,-1.09002854497672,-0.929741439808501
47,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.4,0.01350574713,"Modelo_2",0.412603448275862,-0.885268320949317,-0.777464269959384
